epoch,time_sec
1,295.01
2,283.07
3,289.63
4,288.41
5,279.18
6,278.56
7,283.25
8,286.26
9,275.41
10,287.11
11,286.53
12,279.66
13,288.25
14,281.07
15,287.62
16,290.19
17,289.33
18,285.74
19,289.1
20,284.51
21,284.76
22,286.6
23,265.72
24,275.85
25,284.98
26,284.36
27,285.62
28,286.48
29,283.39
30,272.0
31,262.53
32,275.88
33,285.97
34,284.29
35,284.28
36,287.2
37,288.8
38,289.74
39,281.71
40,288.37
41,282.39
42,275.21
43,283.56
44,283.71
45,288.56
46,282.23
47,283.19
48,280.84
49,282.77
50,280.32
51,290.64
52,279.99
53,281.61
54,287.31
55,279.21
56,293.37
57,286.88
58,291.22
59,293.29
60,278.4
61,288.53
62,286.46
63,285.21
64,281.33
65,286.19
66,273.15
67,269.99
68,282.16
69,280.42
70,273.88
71,286.05
72,283.55
73,284.83
74,287.31
75,272.78
76,281.42
77,277.96
78,279.13
79,279.61
80,285.46
81,282.71
82,276.82
83,284.41
84,278.95
85,285.73
86,279.25
87,284.68
88,274.4
89,278.57
90,282.96
91,272.46
92,292.66
93,276.34
94,283.03
95,285.37
96,283.99
97,278.59
98,280.9
99,282.43
100,279.26
