Epoch,Time(seconds)
1,222.0063
2,228.1156
3,221.2212
4,227.584
5,226.5198
6,223.5059
7,219.4358
8,222.9861
9,225.9791
10,226.7328
11,223.0597
12,225.5243
13,226.1704
14,226.7008
15,227.7993
16,223.7713
17,224.7002
18,228.4063
19,224.0294
20,224.8643
21,227.8449
22,227.0282
23,225.9904
24,226.3326
25,227.088
26,226.9249
27,223.104
28,227.2158
29,226.2162
30,224.5154
31,227.8599
32,225.7483
33,224.3517
34,227.3632
35,217.9317
36,206.2953
37,212.3339
38,218.0132
39,220.6278
40,209.3355
41,215.6015
42,219.2981
43,218.8503
44,218.7718
45,212.8667
46,207.2602
47,218.5402
48,217.3154
49,216.608
50,213.5142
51,216.4933
52,218.6115
53,213.422
54,215.642
55,220.6811
56,206.451
57,215.2887
58,220.9907
59,212.2126
60,209.0861
61,215.0842
62,212.5149
63,215.0498
64,209.8818
65,205.976
66,210.5555
67,214.4003
68,215.1289
69,213.541
70,216.0719
71,208.5712
72,210.556
73,215.6918
74,213.8867
75,211.8758
76,210.9084
77,216.7062
78,211.6253
79,213.9333
80,212.6835
81,218.4802
82,212.6011
83,216.6536
84,218.3295
85,209.7012
86,210.0485
87,205.6138
88,212.2123
89,216.5868
90,215.7836
91,218.659
92,219.8797
93,212.2059
94,214.7695
95,213.5405
96,216.8899
97,213.0089
98,216.4949
99,214.8198
100,207.0713
